student_name,student_id,cgpa,internals,attendance,Fees_Amount_Due,financial_default,financial_default_encoded,financial_risk,attendance_risk,internals_risk,cgpa_risk,final_risk_score,risk_category,counselling_suggestions,financial_aid_suggestion,mentor_name
Kunal Banerjee,STU126,5.0,5.0,54.0,97199.0,large,4.0,8,7,8,6,7.5,High Risk,Explore financial assistance; Improve time management; Address internal factors hindering academic progress.,Urgent: Connect with financial aid office for grants/emergency funds.,Priya Nair
Kavya Iyer,STU127,3.1,5.0,47.0,38485.0,very_small,1.0,1,9,8,8,5.1499999999999995,Medium Risk,Address financial needs; improve study habits; improve attendance; manage internal stress.,No immediate action needed.,Nikita Iyer
Arjun Kapoor,STU128,7.1,0.0,80.0,46925.0,small,2.0,3,0,0,2,1.55,Low Risk,Improve study skills; Seek academic support; Build confidence in abilities.,No immediate action needed.,Neha Choudhary
Aarti Iyer,STU129,8.8,0.0,69.0,81785.0,large,4.0,8,4,0,0,4.8,Medium Risk,Explore financial aid; improve attendance; Develop effective study strategies.,Urgent: Connect with financial aid office for grants/emergency funds.,Meera Desai
Priya Khanna,STU130,8.9,3.0,84.0,0.0,none,0.0,0,0,8,0,1.2,Low Risk,Address underlying internal factors; Seek counseling;  Explore stress management techniques.,No immediate action needed.,Simran Kaur
Ritu Singh,STU131,6.3,3.0,48.0,53565.0,small,2.0,3,9,8,4,5.65,Medium Risk,Explore financial assistance; Improve study skills; Prioritize attendance; manage internal stress.,No immediate action needed.,Vikram Singh
Ishita Das,STU132,6.5,3.0,57.0,24146.0,very_small,1.0,1,7,8,4,4.15,Medium Risk,Address internal issues; improve attendance; develop better study habits.,No immediate action needed.,Aditya Rao
Sneha Nair,STU133,4.0,1.0,72.0,0.0,none,0.0,0,4,2,8,2.3,Low Risk,Improve study skills and time management; address attendance issues; explore academic support.,No immediate action needed.,Rahul Kapoor
Jyoti Iyer,STU134,9.4,0.0,64.0,0.0,none,0.0,0,7,0,0,2.1,Low Risk,Improve attendance; Develop strong study habits; Seek academic advising.,No immediate action needed.,Meera Desai
Sneha Sharma,STU135,4.6,3.0,86.0,0.0,none,0.0,0,0,8,8,2.0,Low Risk,Improve study skills; address internal factors impacting academic performance; seek support.,No immediate action needed.,Aditya Rao
Manav Mehta,STU136,9.1,3.0,86.0,0.0,none,0.0,0,0,8,0,1.2,Low Risk,Address internal factors; seek counseling; develop coping mechanisms.,No immediate action needed.,Vikram Singh
Abhay Singh,STU137,6.5,0.0,89.0,0.0,none,0.0,0,0,0,4,0.4,Low Risk,Improve study skills and time management; seek academic support; build confidence.,No immediate action needed.,Priya Nair
Amit Ganguly,STU138,4.9,1.0,96.0,74147.0,medium,3.0,6,0,2,8,3.8,Low Risk,Explore financial aid options; strengthen study skills; utilize available academic resources.,Action: Discuss fee installment plans or work-study options.,Kunal Verma
Rohan Das,STU139,8.3,1.0,66.0,139114.0,very_large,5.0,10,4,2,0,6.0,Medium Risk,Seek financial aid; improve attendance; develop effective study habits.,Urgent: Connect with financial aid office for grants/emergency funds.,Nikita Iyer
Aarav Kulkarni,STU140,4.8,3.0,60.0,142921.0,very_large,5.0,10,7,8,8,8.6,High Risk,Explore financial aid; improve study skills; manage internal and external stressors; improve attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Isha Patel
Ritu Verma,STU141,9.0,5.0,78.0,85685.0,large,4.0,8,0,8,0,4.8,Medium Risk,Explore financial aid; address internal challenges affecting academic success; seek support.,Urgent: Connect with financial aid office for grants/emergency funds.,Arjun Malhotra
Shreya Saxena,STU142,8.6,2.0,45.0,104717.0,very_large,5.0,10,9,6,0,8.1,High Risk,Secure financial assistance; improve attendance; develop coping mechanisms for internal stressors.,Urgent: Connect with financial aid office for grants/emergency funds.,Nikita Iyer
Maya Banerjee,STU143,9.3,5.0,87.0,115229.0,very_large,5.0,10,0,8,0,5.7,Medium Risk,Secure financial assistance; seek academic advising; implement stress-management techniques.,Urgent: Connect with financial aid office for grants/emergency funds.,Simran Kaur
Aarav Mishra,STU144,7.5,0.0,85.0,0.0,none,0.0,0,0,0,2,0.2,Low Risk,Improve study skills; seek academic support; build confidence in abilities.,No immediate action needed.,Siddharth Jain
Gaurav Chopra,STU145,7.4,3.0,70.0,0.0,none,0.0,0,4,8,2,2.6,Low Risk,Address internal factors; improve attendance; seek counseling or mentoring.,No immediate action needed.,Manish Joshi
Nisha Saxena,STU146,7.5,3.0,98.0,3747.0,very_small,1.0,1,0,8,2,1.8499999999999999,Low Risk,Address internal issues; seek counseling; develop effective study strategies.,No immediate action needed.,Dev Patel
Suresh Chopra,STU147,8.1,0.0,85.0,0.0,none,0.0,0,0,0,0,0.0,Low Risk,N/A - No apparent risks.,No immediate action needed.,Simran Kaur
Ritu Banerjee,STU148,4.9,3.0,81.0,8101.0,very_small,1.0,1,0,8,8,2.45,Low Risk,Improve study skills; address internal challenges; seek support.,No immediate action needed.,Meera Desai
Kunal Das,STU149,8.4,2.0,37.0,10094.0,very_small,1.0,1,9,6,0,4.05,Medium Risk,Explore financial aid options; improve attendance; develop effective study strategies.,No immediate action needed.,Dev Patel
Ravi Gupta,STU150,8.6,0.0,90.0,0.0,none,0.0,0,0,0,0,0.0,Low Risk,N/A - No apparent risks.,No immediate action needed.,Pooja Menon
Sameer Pillai,STU151,4.4,4.0,96.0,52034.0,small,2.0,3,0,8,8,3.3499999999999996,Low Risk,Improve study skills and time management; address internal challenges; seek academic support.,No immediate action needed.,Dev Patel
Pooja Rao,STU152,8.5,6.0,78.0,46972.0,small,2.0,3,0,8,0,2.55,Low Risk,Address internal challenges; seek counseling; develop better study habits.,No immediate action needed.,Simran Kaur
Anjali Agarwal,STU153,7.3,1.0,79.0,63917.0,medium,3.0,6,0,2,2,3.2,Low Risk,Explore financial aid options; improve study skills; build confidence in abilities.,Action: Discuss fee installment plans or work-study options.,Arjun Malhotra
Alok Joshi,STU154,5.3,6.0,63.0,102589.0,very_large,5.0,10,7,8,6,8.4,High Risk,Explore financial aid; improve attendance; manage internal stress effectively.,Urgent: Connect with financial aid office for grants/emergency funds.,Simran Kaur
Shreya Agarwal,STU155,9.3,2.0,76.0,0.0,none,0.0,0,0,6,0,0.8999999999999999,Low Risk,Address internal challenges; seek counseling; develop effective study strategies.,No immediate action needed.,Siddharth Jain
Priya Kulkarni,STU156,3.7,0.0,47.0,105323.0,very_large,5.0,10,9,0,8,7.999999999999999,High Risk,Seek financial aid; improve attendance; develop strong study strategies.,Urgent: Connect with financial aid office for grants/emergency funds.,Pooja Menon
Payal Kapoor,STU157,6.8,0.0,65.0,0.0,none,0.0,0,7,0,4,2.5,Low Risk,Improve study habits and time management; address attendance issues; seek academic support.,No immediate action needed.,Pooja Menon
Ritika Choudhary,STU158,7.8,4.0,36.0,0.0,none,0.0,0,9,8,2,4.1,Medium Risk,Improve attendance; address internal challenges; seek counseling or mentoring.,No immediate action needed.,Siddharth Jain
Maya Patel,STU159,6.5,2.0,80.0,0.0,none,0.0,0,0,6,4,1.2999999999999998,Low Risk,Address internal challenges; develop better study strategies; seek academic support.,No immediate action needed.,Dev Patel
Maya Bhat,STU160,5.8,6.0,39.0,0.0,none,0.0,0,9,8,6,4.5,Medium Risk,Improve attendance; address internal challenges; develop effective study strategies.,No immediate action needed.,Aarav Sharma
Sanya Bose,STU161,4.6,3.0,67.0,0.0,none,0.0,0,4,8,8,3.2,Low Risk,Improve study skills; address internal challenges; improve attendance.,No immediate action needed.,Meera Desai
Nisha Joshi,STU162,7.5,0.0,65.0,129367.0,very_large,5.0,10,7,0,2,6.8,Medium Risk,Secure financial assistance; improve attendance; develop effective study strategies.,Urgent: Connect with financial aid office for grants/emergency funds.,Isha Patel
Ritu Gupta,STU163,3.5,4.0,61.0,72562.0,medium,3.0,6,7,8,8,6.800000000000001,Medium Risk,Address financial needs; improve study skills; manage internal and external stressors; improve attendance.,Action: Discuss fee installment plans or work-study options.,Rohan Mehta
Ravi Rao,STU164,6.9,2.0,71.0,106242.0,very_large,5.0,10,4,6,4,7.0,Medium Risk,Explore financial aid; address attendance issues; develop effective study habits.,Urgent: Connect with financial aid office for grants/emergency funds.,Ananya Gupta
Aarav Pillai,STU165,6.1,1.0,49.0,47834.0,small,2.0,3,9,2,4,4.75,Medium Risk,Explore financial assistance; improve study skills; improve attendance.,No immediate action needed.,Kunal Verma
Aarti Dutta,STU166,4.6,5.0,74.0,132866.0,very_large,5.0,10,4,8,8,7.7,High Risk,Explore financial aid; improve study skills; manage internal stress effectively; improve attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Ananya Gupta
Pooja Ganguly,STU167,3.3,3.0,47.0,109471.0,very_large,5.0,10,9,8,8,9.2,High Risk,Explore financial aid; improve study skills; manage internal stress effectively; improve attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Aarav Sharma
Rekha Khanna,STU168,4.4,6.0,98.0,130280.0,very_large,5.0,10,0,8,8,6.5,Medium Risk,Explore financial aid; improve study skills; manage internal stress effectively.,Urgent: Connect with financial aid office for grants/emergency funds.,Vikram Singh
Ayesha Das,STU169,8.7,2.0,59.0,119080.0,very_large,5.0,10,7,6,0,7.5,High Risk,Secure financial assistance; improve attendance; develop coping mechanisms for internal stressors.,Urgent: Connect with financial aid office for grants/emergency funds.,Sanya Khanna
Nikhil Sharma,STU170,7.9,6.0,73.0,12532.0,very_small,1.0,1,4,8,2,3.05,Low Risk,Address internal issues; improve attendance; seek counseling or mentoring.,No immediate action needed.,Vikram Singh
Dev Khanna,STU171,4.1,2.0,94.0,148650.0,very_large,5.0,10,0,6,8,6.2,Medium Risk,Explore financial aid; improve study skills; manage internal stress.,Urgent: Connect with financial aid office for grants/emergency funds.,Simran Kaur
Harsh Mishra,STU172,8.0,4.0,86.0,7394.0,very_small,1.0,1,0,8,2,1.8499999999999999,Low Risk,Address internal issues; seek counseling; develop effective study strategies.,No immediate action needed.,Ananya Gupta
Shreya Bhat,STU173,4.9,3.0,82.0,37500.0,very_small,1.0,1,0,8,8,2.45,Low Risk,Improve study skills; address internal challenges; seek support.,No immediate action needed.,Aarav Sharma
Ritika Mishra,STU174,5.8,3.0,59.0,0.0,none,0.0,0,7,8,6,3.9,Low Risk,Address internal challenges; improve attendance; develop effective study strategies.,No immediate action needed.,Siddharth Jain
Kavya Reddy,STU175,4.1,6.0,56.0,29973.0,very_small,1.0,1,7,8,8,4.55,Medium Risk,Address financial needs; improve study habits; improve attendance; manage internal stress.,No immediate action needed.,Priya Nair
Rahul Sharma,STU176,9.0,5.0,66.0,0.0,none,0.0,0,4,8,0,2.4,Low Risk,Address internal factors; seek counseling; improve attendance.,No immediate action needed.,Neha Choudhary
Rekha Pillai,STU177,5.3,6.0,68.0,127741.0,very_large,5.0,10,4,8,6,7.5,High Risk,Explore financial aid; improve study skills; manage internal stress effectively; improve attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Kunal Verma
Simran Rao,STU178,3.3,5.0,95.0,18507.0,very_small,1.0,1,0,8,8,2.45,Low Risk,Improve study skills; address internal challenges; seek support.,No immediate action needed.,Manish Joshi
Ayesha Rao,STU179,9.4,3.0,80.0,35078.0,very_small,1.0,1,0,8,0,1.65,Low Risk,Address internal issues; seek counseling; develop effective study strategies.,No immediate action needed.,Dev Patel
Sameer Mehta,STU180,6.1,4.0,84.0,45571.0,small,2.0,3,0,8,4,2.9499999999999997,Low Risk,Address internal challenges; seek counseling; develop better study habits.,No immediate action needed.,Simran Kaur
Sneha Khanna,STU181,7.0,5.0,48.0,128039.0,very_large,5.0,10,9,8,4,8.799999999999999,High Risk,Explore financial aid; improve study skills; manage internal stress effectively; improve attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Dev Patel
Arjun Nair,STU182,8.0,2.0,56.0,149048.0,very_large,5.0,10,7,6,2,7.7,High Risk,Explore financial aid; improve attendance; develop effective study strategies.,Urgent: Connect with financial aid office for grants/emergency funds.,Pooja Menon
Kabir Trivedi,STU183,4.9,2.0,44.0,42329.0,small,2.0,3,9,6,8,5.749999999999999,Medium Risk,Explore financial aid; improve study skills; manage internal and external stressors; improve attendance.,No immediate action needed.,Neha Choudhary
Simran Mehta,STU184,3.3,6.0,64.0,130350.0,very_large,5.0,10,7,8,8,8.6,High Risk,Explore financial aid; improve study skills; manage internal stress effectively; improve attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Aarav Sharma
Ananya Das,STU185,6.4,0.0,97.0,0.0,none,0.0,0,0,0,4,0.4,Low Risk,Improve study skills and time management; seek academic support; build confidence.,No immediate action needed.,Isha Patel
Pooja Verma,STU186,3.7,5.0,67.0,98620.0,large,4.0,8,4,8,8,6.8,Medium Risk,Address financial needs; improve study skills; manage internal and external stressors; improve attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Siddharth Jain
Kabir Patel,STU187,7.0,1.0,91.0,21048.0,very_small,1.0,1,0,2,4,1.15,Low Risk,Improve study skills; seek academic support; build confidence in abilities.,No immediate action needed.,Aditya Rao
Ananya Rao,STU188,4.5,6.0,44.0,0.0,none,0.0,0,9,8,8,4.699999999999999,Medium Risk,Improve study skills; address attendance issues; manage internal stress.,No immediate action needed.,Vikram Singh
Anjali Chopra,STU189,7.5,1.0,35.0,0.0,none,0.0,0,9,2,2,3.1999999999999997,Low Risk,Improve attendance; develop effective study strategies; seek academic support.,No immediate action needed.,Vikram Singh
Simran Singh,STU190,4.7,1.0,55.0,0.0,none,0.0,0,7,2,8,3.2,Low Risk,Improve study skills; improve attendance; seek academic support.,No immediate action needed.,Priya Nair
Deepak Joshi,STU191,4.9,4.0,62.0,91757.0,large,4.0,8,7,8,8,7.7,High Risk,Address financial needs; improve study skills; manage internal and external stressors; improve attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Rahul Kapoor
Sneha Bhat,STU192,8.6,6.0,71.0,0.0,none,0.0,0,4,8,0,2.4,Low Risk,Address internal factors; seek counseling; improve attendance.,No immediate action needed.,Isha Patel
Nikhil Mishra,STU193,5.8,1.0,65.0,50937.0,small,2.0,3,7,2,6,4.35,Medium Risk,Improve study skills; improve attendance; utilize available academic resources.,No immediate action needed.,Isha Patel
Varun Pillai,STU194,3.4,6.0,52.0,35619.0,very_small,1.0,1,7,8,8,4.55,Medium Risk,Address financial needs; improve study habits; improve attendance; manage internal stress.,No immediate action needed.,Manish Joshi
Divya Khanna,STU195,6.2,5.0,96.0,40738.0,small,2.0,3,0,8,4,2.9499999999999997,Low Risk,Address internal challenges; develop better study strategies; seek support.,No immediate action needed.,Pooja Menon
Aarti Desai,STU196,5.1,6.0,93.0,0.0,none,0.0,0,0,8,6,1.8,Low Risk,Address internal challenges; improve study skills; seek support.,No immediate action needed.,Simran Kaur
Kiran Rao,STU197,6.3,1.0,83.0,101638.0,very_large,5.0,10,0,2,4,5.2,Medium Risk,Explore financial aid options; seek academic support; build confidence.,Urgent: Connect with financial aid office for grants/emergency funds.,Aarav Sharma
Kabir Bhat,STU198,4.3,3.0,61.0,121583.0,very_large,5.0,10,7,8,8,8.6,High Risk,Explore financial aid; improve study skills; manage internal and external stressors; improve attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Rohan Mehta
Priya Reddy,STU199,9.1,5.0,92.0,3408.0,very_small,1.0,1,0,8,0,1.65,Low Risk,Address internal issues; seek counseling; develop effective study strategies.,No immediate action needed.,Rahul Kapoor
Neha Malhotra,STU200,7.2,3.0,96.0,0.0,none,0.0,0,0,8,2,1.4,Low Risk,Address internal challenges; seek counseling; develop effective study strategies.,No immediate action needed.,Aditya Rao
Shreya Banerjee,STU201,5.7,5.0,48.0,86238.0,large,4.0,8,9,8,6,8.1,High Risk,Explore financial aid options; seek academic tutoring; address internal/attendance issues with counselor; improve study habits.,Urgent: Connect with financial aid office for grants/emergency funds.,Sanya Khanna
Divya Verma,STU202,5.7,1.0,77.0,0.0,none,0.0,0,0,2,6,0.9000000000000001,Low Risk,Focus on improving CGPA; engage more in class activities; maintain excellent attendance.,No immediate action needed.,Sanya Khanna
Sameer Menon,STU203,4.3,4.0,80.0,59342.0,small,2.0,3,0,8,8,3.3499999999999996,Low Risk,Develop better time management skills; seek academic support for CGPA; address internal issues with counselor.,No immediate action needed.,Ananya Gupta
Rahul Patel,STU204,7.8,6.0,88.0,51046.0,small,2.0,3,0,8,2,2.75,Low Risk,Improve study skills and time management; address internal issues; consider academic support.,No immediate action needed.,Pooja Menon
Shreya Menon,STU205,9.2,1.0,43.0,66430.0,medium,3.0,6,9,2,0,5.7,Medium Risk,Address attendance issues; seek help for financial concerns; maintain good internal standing.,Action: Discuss fee installment plans or work-study options.,Ananya Gupta
Vikas Banerjee,STU206,9.1,5.0,53.0,0.0,none,0.0,0,7,8,0,3.3,Low Risk,Address internal issues; improve attendance; explore extracurricular activities.,No immediate action needed.,Meera Desai
Arjun Rao,STU207,4.0,5.0,48.0,117138.0,very_large,5.0,10,9,8,8,9.2,High Risk,Seek financial aid; address academic challenges; improve attendance; manage stress effectively.,Urgent: Connect with financial aid office for grants/emergency funds.,Nikita Iyer
Aarti Khanna,STU208,8.9,1.0,74.0,0.0,none,0.0,0,4,2,0,1.5,Low Risk,Explore extracurricular involvement; maintain academic performance; consider volunteering.,No immediate action needed.,Kunal Verma
Dev Mehta,STU209,7.1,0.0,100.0,0.0,none,0.0,0,0,0,2,0.2,Low Risk,Focus on improving CGPA; explore opportunities for academic enrichment.,No immediate action needed.,Priya Nair
Sahil Agarwal,STU210,4.1,3.0,79.0,0.0,none,0.0,0,0,8,8,2.0,Low Risk,Develop effective study strategies; address internal issues; explore leadership roles.,No immediate action needed.,Vikram Singh
Kabir Kulkarni,STU211,9.2,2.0,55.0,127454.0,very_large,5.0,10,7,6,0,7.5,High Risk,Explore financial aid; address internal issues; improve attendance; seek career counseling.,Urgent: Connect with financial aid office for grants/emergency funds.,Pooja Menon
Priya Bhat,STU212,9.4,0.0,73.0,89377.0,large,4.0,8,4,0,0,4.8,Medium Risk,Explore financial aid options; maintain excellent academic performance; participate in extracurriculars.,Urgent: Connect with financial aid office for grants/emergency funds.,Isha Patel
Meera Rao,STU213,6.9,4.0,67.0,0.0,none,0.0,0,4,8,4,2.8,Low Risk,Address internal issues; improve study skills; improve attendance; consider tutoring.,No immediate action needed.,Meera Desai
Sneha Kapoor,STU214,5.5,2.0,71.0,94130.0,large,4.0,8,4,6,6,6.299999999999999,Medium Risk,Explore financial aid; improve study habits; address internal concerns; improve attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Rohan Mehta
Raj Reddy,STU215,7.1,5.0,82.0,0.0,none,0.0,0,0,8,2,1.4,Low Risk,Address internal issues; focus on improving CGPA; explore academic support.,No immediate action needed.,Nikita Iyer
Nisha Desai,STU216,6.3,2.0,37.0,112257.0,very_large,5.0,10,9,6,4,8.5,High Risk,Explore financial aid options; improve study habits; address internal/attendance issues; seek academic support.,Urgent: Connect with financial aid office for grants/emergency funds.,Isha Patel
Neha Singh,STU217,3.4,1.0,92.0,0.0,none,0.0,0,0,2,8,1.1,Low Risk,Develop effective study strategies; explore advanced coursework; maintain perfect attendance.,No immediate action needed.,Arjun Malhotra
Divya Sharma,STU218,6.1,3.0,62.0,99740.0,large,4.0,8,7,8,4,7.300000000000001,High Risk,Explore financial aid options; improve study skills; address internal/attendance issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Tanya Bhatia
Rekha Bhat,STU219,4.2,1.0,71.0,0.0,none,0.0,0,4,2,8,2.3,Low Risk,Develop effective study strategies; maintain excellent attendance; explore extracurriculars.,No immediate action needed.,Dev Patel
Harsh Chopra,STU220,4.5,2.0,89.0,67544.0,medium,3.0,6,0,6,8,4.4,Medium Risk,Develop effective study strategies; address internal issues; seek academic support for CGPA.,Action: Discuss fee installment plans or work-study options.,Ananya Gupta
Vikas Reddy,STU221,8.9,2.0,59.0,27255.0,very_small,1.0,1,7,6,0,3.45,Low Risk,Address internal issues; improve attendance; explore academic support.,No immediate action needed.,Manish Joshi
Rahul Malhotra,STU222,3.8,2.0,74.0,0.0,none,0.0,0,4,6,8,2.8999999999999995,Low Risk,Develop effective study strategies; address internal issues; improve attendance.,No immediate action needed.,Neha Choudhary
Jyoti Bose,STU223,3.8,0.0,83.0,98575.0,large,4.0,8,0,0,8,4.4,Medium Risk,Develop effective study strategies; address CGPA concerns; maintain perfect attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Kunal Verma
Nisha Rao,STU224,7.2,1.0,67.0,0.0,none,0.0,0,4,2,2,1.7,Low Risk,Improve CGPA; improve attendance; explore academic support.,No immediate action needed.,Siddharth Jain
Simran Agarwal,STU225,4.1,1.0,79.0,0.0,none,0.0,0,0,2,8,1.1,Low Risk,Develop effective study strategies; explore advanced coursework; maintain perfect attendance.,No immediate action needed.,Tanya Bhatia
Raj Rao,STU226,4.9,1.0,63.0,91081.0,large,4.0,8,7,2,8,6.8,Medium Risk,Explore financial aid options; develop effective study strategies; improve attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Priya Nair
Aarav Dutta,STU227,7.0,2.0,53.0,9400.0,very_small,1.0,1,7,6,4,3.85,Low Risk,Address internal issues; improve attendance; focus on improving CGPA.,No immediate action needed.,Aarav Sharma
Dev Dutta,STU228,3.1,1.0,49.0,43819.0,small,2.0,3,9,2,8,5.1499999999999995,Medium Risk,Develop effective study strategies; address attendance issues; consider academic support.,No immediate action needed.,Vikram Singh
Harsh Nair,STU229,7.2,5.0,96.0,0.0,none,0.0,0,0,8,2,1.4,Low Risk,Address internal issues; focus on improving CGPA; explore academic support.,No immediate action needed.,Rohan Mehta
Tanvi Bhat,STU230,3.3,2.0,79.0,0.0,none,0.0,0,0,6,8,1.7,Low Risk,Develop effective study strategies; address internal issues; maintain perfect attendance.,No immediate action needed.,Ananya Gupta
Rahul Rao,STU231,5.6,2.0,98.0,0.0,none,0.0,0,0,6,6,1.5,Low Risk,Address internal issues; improve study habits; maintain perfect attendance.,No immediate action needed.,Kunal Verma
Maya Choudhary,STU232,3.6,6.0,39.0,0.0,none,0.0,0,9,8,8,4.699999999999999,Medium Risk,Develop effective study strategies; address internal issues; improve attendance.,No immediate action needed.,Sanya Khanna
Gaurav Agarwal,STU233,8.5,3.0,60.0,124071.0,very_large,5.0,10,7,8,0,7.8,High Risk,Explore financial aid options; address internal issues; improve attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Vikram Singh
Kabir Kapoor,STU234,4.4,1.0,92.0,0.0,none,0.0,0,0,2,8,1.1,Low Risk,Develop effective study strategies; explore advanced coursework; maintain perfect attendance.,No immediate action needed.,Sanya Khanna
Priya Kapoor,STU235,3.5,5.0,90.0,109632.0,very_large,5.0,10,0,8,8,6.5,Medium Risk,Seek financial aid; develop effective study strategies; address CGPA concerns.,Urgent: Connect with financial aid office for grants/emergency funds.,Aditya Rao
Ayesha Khanna,STU236,4.6,4.0,65.0,16742.0,very_small,1.0,1,7,8,8,4.55,Medium Risk,Address internal issues; improve attendance; develop effective study strategies.,No immediate action needed.,Meera Desai
Suresh Saxena,STU237,6.3,1.0,47.0,5851.0,very_small,1.0,1,9,2,4,3.8499999999999996,Low Risk,Explore financial aid options; improve study skills; address attendance issues.,No immediate action needed.,Meera Desai
Rekha Malhotra,STU238,7.0,5.0,73.0,39490.0,very_small,1.0,1,4,8,4,3.2499999999999996,Low Risk,Address internal issues; improve study skills; improve attendance.,No immediate action needed.,Rahul Kapoor
Ayesha Dutta,STU239,3.8,6.0,48.0,38763.0,very_small,1.0,1,9,8,8,5.1499999999999995,Medium Risk,Address internal issues; improve attendance; develop effective study strategies.,No immediate action needed.,Rahul Kapoor
Ashwin Khanna,STU240,3.4,1.0,84.0,0.0,none,0.0,0,0,2,8,1.1,Low Risk,Develop effective study strategies; explore advanced coursework; maintain perfect attendance.,No immediate action needed.,Nikita Iyer
Vivek Rao,STU241,7.4,2.0,53.0,0.0,none,0.0,0,7,6,2,3.2,Low Risk,Address internal issues; improve attendance; explore academic support.,No immediate action needed.,Rohan Mehta
Arjun Saxena,STU242,6.4,3.0,64.0,63574.0,medium,3.0,6,7,8,4,6.400000000000001,Medium Risk,Address internal issues; improve study skills; improve attendance.,Action: Discuss fee installment plans or work-study options.,Nikita Iyer
Tanvi Rao,STU243,5.8,3.0,76.0,52238.0,small,2.0,3,0,8,6,3.15,Low Risk,Improve study habits; address internal issues; maintain perfect attendance.,No immediate action needed.,Aarav Sharma
Amit Trivedi,STU244,7.1,1.0,60.0,36878.0,very_small,1.0,1,7,2,2,3.0500000000000003,Low Risk,Improve CGPA; improve attendance; explore academic support.,No immediate action needed.,Kunal Verma
Siddharth Pillai,STU245,3.5,5.0,43.0,61594.0,medium,3.0,6,9,8,8,7.4,High Risk,Develop effective study strategies; address internal/attendance issues; seek academic support.,Action: Discuss fee installment plans or work-study options.,Neha Choudhary
Siddharth Joshi,STU246,9.4,2.0,87.0,0.0,none,0.0,0,0,6,0,0.8999999999999999,Low Risk,Address internal issues; explore academic support; consider extracurricular involvement.,No immediate action needed.,Nikita Iyer
Kavya Kulkarni,STU247,8.8,4.0,98.0,29668.0,very_small,1.0,1,0,8,0,1.65,Low Risk,Address internal issues; explore academic support; consider extracurricular involvement.,No immediate action needed.,Arjun Malhotra
Gaurav Joshi,STU248,3.0,3.0,68.0,138296.0,very_large,5.0,10,4,8,8,7.7,High Risk,Seek financial aid; develop effective study strategies; address internal issues; improve attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Simran Kaur
Varun Kapoor,STU249,8.2,0.0,79.0,133332.0,very_large,5.0,10,0,0,0,4.5,Medium Risk,Maintain excellent academic performance; explore extracurriculars; address financial concerns.,Urgent: Connect with financial aid office for grants/emergency funds.,Arjun Malhotra
Ritu Kapoor,STU250,5.9,3.0,86.0,51180.0,small,2.0,3,0,8,6,3.15,Low Risk,Improve study habits; address internal issues; maintain perfect attendance.,No immediate action needed.,Tanya Bhatia
Priya Dutta,STU251,7.8,1.0,79.0,124697.0,very_large,5.0,10,0,2,2,5.0,Medium Risk,Explore financial aid options; improve study skills; maintain perfect attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Simran Kaur
Ananya Verma,STU252,8.5,2.0,82.0,124929.0,very_large,5.0,10,0,6,0,5.4,Medium Risk,Explore financial aid options; address internal issues; maintain perfect attendance.,Urgent: Connect with financial aid office for grants/emergency funds.,Dev Patel
Raj Gupta,STU253,6.6,3.0,66.0,83146.0,large,4.0,8,4,8,4,6.4,Medium Risk,Explore financial aid options; improve study skills; address internal/attendance issues.,Urgent: Connect with financial aid office for grants/emergency funds.,Pooja Menon
Siddharth Singh,STU254,6.0,4.0,90.0,74672.0,medium,3.0,6,0,8,6,4.5,Medium Risk,Improve study habits; address internal issues; maintain perfect attendance.,Action: Discuss fee installment plans or work-study options.,Manish Joshi
Kavya Choudhary,STU255,8.8,5.0,76.0,76045.0,medium,3.0,6,0,8,0,3.9000000000000004,Low Risk,Address internal issues; explore academic support; consider extracurricular involvement.,Action: Discuss fee installment plans or work-study options.,Tanya Bhatia
Nikhil Reddy,STU256,9.1,1.0,67.0,68958.0,medium,3.0,6,4,2,0,4.2,Medium Risk,Address financial concerns; improve attendance; maintain academic performance.,Action: Discuss fee installment plans or work-study options.,Neha Choudhary
Tanya Dutta,STU257,8.8,5.0,82.0,1410.0,very_small,1.0,1,0,8,0,1.65,Low Risk,Address internal issues; explore academic support; consider extracurricular involvement.,No immediate action needed.,Isha Patel
Ananya Gupta,STU258,6.0,1.0,68.0,0.0,none,0.0,0,4,2,6,2.1,Low Risk,Improve study habits; improve attendance; maintain good internal standing.,No immediate action needed.,Rohan Mehta
